Mammals,,,,,
,,,,,
SNo,Common name,Scientific name,Home range,status,
272,Great Indian rhinoceros,rhinoceros unicornis,Asia,E,
273,Javan rhinoceros,rhinoceros sondaicus,Asia,E,
274,Northern white rhinoceros,Ceratotherium simum cottoni,Africa,E,
275,Sumatran rhinoceros,Dicerorhinus sumatrensis,Asia,E,
276,Marsh rice rat (Florida subspecies),Oryzomys palustris natator,North America,E,
277,Mongolian saiga (antelope),Saiga tatarica mongolica,Asia,E,
278,Black Bearded Saki,Chiropotes satanas,South America,E,
279,White-nosed Saki,Chiropotes albinasus,South America,E,
280,Caribbean monk seal,Monachus tropicalis,North America,E,
281,Guadalupe fur seal,Arctocephalus townsendi,North America,T,
282,Hawaiian monk seal,Monachus schauinslandi,North America,E,
283,Mediterranean monk seal,Monachus monachus,Asia,E,
284,Saimaa Seal,Phoca hispida saimensis,Europe,E,
285,Steller sea-lion,Eumetopias jubatus,"North America, Asia",E & T,
286,Seledang,Bos gaurus,Asia,E,
287,serow,Naemorhedus (Capricornis) sumatraensis,Asia,E,
288,Barbary serval,Leptailurus (Felis) serval constantina,Africa,E,
289,Shapo,Ovis vignei vignei,Asia,E,
290,Bighorn sheep,Ovis canadensis,North America,E,
291,Bighorn sheep,Ovis canadensis californiana,North America,E,
292,Shou,Cervus elaphus wallichi,Asia,E,
293,Buena Vista Lake ornate shrew,Sorex ornatus relictus,North America,E,
294,Siamang,Symphalangus syndactylus,Asia,E,
295,Sifakas,Propithecus spp.,Africa,E,
296,Brazilian three-toed sloth,Bradypus torquatus,South America,E,
297,Cuban Solenodon,Solenodon cubanus,South America,E,
298,Haitian solenodon,Solenodon paradoxus,South America,E,
299,Carolina northern flying squirrel,Glaucomys sabrinus coloratus,North America,E,
300,Delmarva Peninsula fox squirrel,Sciurus niger cinereus,North America,E,
301,Mount Graham Red Squirrel,Tamiasciurus hudsonicus grahamensis,North America,E,
302,Northern Idaho ground squirrel,Spermophilus brunneus brunneus,North America,T,
303,Virginia northern flying squirrel,Glaucomys sabrinus fuscus,North America,E,
304,Barbary stag,Cervus elaphus barbarus,Africa,E,
305,Kashmir stag,Cervus elaphus hanglu,Asia,E,
306,Zanzibar suni,Neotragus moschatus moschatus,Africa,E,
307,Arabian tahr,Hemitragus jayakari,Asia,E,
308,Tamaraw,Bubalus mindorensis,Asia,E,
309,Lion tamarins,Leontopithecus spp.,South America,E,
310,Pied Tamarin,Saguinus bicolor,South America,E,
311,White-footed Tamarin,Saguinus leucopus,South America,T,
312,Asian tapir,tapirus indicus,Asia,E,
313,Central American tapir,tapirus bairdii,"North America, South America",E,
314,Mountain Tapir,tapirus pinchaque,South America,E,
315,South American tapir (Brazilian),tapirus terrestris,South America,E,
316,Philippine Tarsier,Tarsius syrichta,Asia,T,
317,Tiger,Panthera tigris,Asia,E,
318,Tasmanian tiger,Thylacinus cynocephalus,Australia,E,
319,Uakari (all species),Cacajao spp.,South America,E,
320,Urial,Ovis musimon ophion,Europe,E,
321,Vicuna,Vicugna vicugna,South America,E,
322,Amargosa vole,Microtus californicus scirpensis,North America,E,
323,Florida salt marsh vole,Microtus pennsylvanicus dukecampbelli,North America,E,
324,Hualapai Mexican vole,Microtus mexicanus hualpaiensis,North America,E,
325,Banded hare wallaby,Lagostrophus fasciatus,Australia,E,
326,Brindled nail-tailed wallaby,Onychogalea fraenata,Australia,E,
327,Crescent nail-tailed wallaby,Onychogalea lunata,Australia,E,
328,Parma wallaby,Macropus parma,Australia,E,
329,Western hare wallaby,Lagorchestes hirsutus,Australia,E,
330,Yellow-footed Rock-wallaby,Petrogale xanthopus,Australia,E,
331,Blue Whale,Balaenoptera musculus,Australia,E,
332,Bowhead Whale,Balaena mysticetus,Australia,E,
333,Fin Whale,Balaenoptera physalus,Australia,E,
334,Gray Whale,Eschrichtius robustus,"North America, Asia",E,
335,Humpback Whale,Megaptera novaeangliae,Australia,E,
336,Right whales,Eualaena spp.,Australia,E,
337,Sei Whale,Balaenoptera borealis,Australia,E,
338,Sperm Whale,Physeter macrocephalus,Australia,E,
339,Gray Wolf,Canis lupus,"Europe, Asia, Africa, North America",E,
340,Maned wolf,Chrysocyon brachyurus,South America,E,
341,Red wolf,Canis rufus,North America,E,
342,Queensland hairy-nosed wombat (incl. Barnard's),Lasiorhinus krefftii (formerly L. barnardi and L. gillespiei),Australia,E,
343,Key Largo Woodrat,Neotoma floridana smalli,North America,E,
344,Riparian woodrat (San Joaquin Valley),Neotoma fuscipes riparia,North America,E,
345,Wild Yak,Bos mutus (grunniens m.),Asia,E,
346,Grevy's zebra,Equus grevyi,Africa,T,
347,Hartmann's mountain zebra,Equus zebra hartmannae,Africa,T,
348,Mountain zebra,Equus zebra zebra,Africa,E,
,,,,,
Birds,,,,,
,,,,,
SNo,Common name,Scientific name,Home range,status,Migratory Status
1,Hawaii Akepa (honeycreeper),Loxops coccineus coccineus,North America,E,N
2,Maui ?Akepa (honeycreeper),Loxops coccineus ochraceus,North America,E,N
3,Kaua?i ?Akialoa (honeycreeper),Hemignathus procerus,North America,E,N
4,Akiapola`au (honeycreeper),Hemignathus munroi,North America,E,N
5,Amsterdam Albatross,Diomedea amsterdamensis,Africa,E,Y
6,Short-tailed Albatross,Phoebastria albatrus,"Asia, North America",E,Y
7,Thyolo Alethe,Alethe choloensis,Africa,E,N
8,Yellow-shouldered Blackbird,Agelaius xanthomus,North America,E,N
9,Masked Bobwhite (quail),Colinus virginianus ridgwayi,North America,E,N
10,Abbott's Booby,Papasula (Sula) abbotti,Australia,E,N
11,Western Bristlebird,Dasyornis longirostris,Australia,E,N
12,Western Rufous Bristlebird,Dasyornis broadbenti litoralis,Australia,E,N
13,Mauritius Olivaceous Bulbul,Hypsipetes borbonicus olivaceus,Africa,E,N
14,Sao Miguel Bullfinch,Pyrrhula pyrrhula murina,Europe,E,N
15,Uluguru Bushshrike,Malaconotus alius,Africa,T,N
16,New Zealand Bushwren,Xenicus longipes,Europe,E,N
17,Great Indian Bustard,Ardeotis nigriceps,Asia,E,N
18,Cahow,Pterodroma cahow,North America,E,Y
19,Audubon's Crested Caracara,Polyborus plancus audubonii,North America,T,Y
20,Andean Condor,Vultur gryphus,South America,E,Y
21,California Condor,Gymnogyps californianus,North America,E,N
22,Hawaiian Coot,Fulica americana alai,North America,E,N
23,Banded Cotinga,Cotinga maculata,South America,E,N
24,White-winged Cotinga,Xipholena atropurpurea,South America,E,N
25,Black-necked Crane,Grus nigricollis,Asia,E,Y
26,Cuba Sandhill Crane,Grus canadensis nesiotes,"Asia, South America",E,Y
27,Hooded Crane,Grus monacha,Asia,E,Y
28,Japanese Crane,Grus japonensis,Asia,E,Y
29,Mississippi Sandhill Crane,Grus canadensis pulla,North America,E,Y
30,Siberian White Crane,Grus leucogeranus,Asia,E,Y
31,White-naped Crane,Grus vipio,Asia,E,Y
32,Whooping Crane,Grus americana,North America,E,Y
33,Hawaii Creeper,Oreomystis mana,North America,E,N
34,Molokai Creeper,Paroreomyza flammea,North America,E,N
35,Oahu Creeper,Paroreomyza maculata,North America,E,N
36,Hawaiian Crow,Corvus hawaiiensis,North America,E,N
37,Mariana Crow,Corvus kubaryi,North America,E,N
38,White-necked Crow,Corvus leucognaphalus,North America,E,N
39,Mauritius Cuckoo-shrike,Coracina typica,Africa,E,N
40,Reunion Cuckoo-shrike,Coracina newtoni,Africa,E,N
41,Razor-billed Curassow,Mitu tuberosum,South America,E,N
42,Red-billed Curassow,Crax blumenbachii,South America,E,N
43,Trinidad White-headed Curassow,Aburria pipile,Asia,E,N
44,Eskimo Curlew,Numenius borealis,"North America, South America",E,Y
45,"Dove, cloven-feathered",Drepanoptila holosericea,Australia,E,N
46,"Dove, Grenada gray-fronted",Leptotila rufaxilla wellsi,Asia,E,N
47,Hawaiian Duck,Anas wyvilliana,North America,E,N
48,Laysan Duck,Anas laysanensis,North America,E,N
49,Pink-headed Duck,Rhodonessa caryophyllacea,Asia,E,N
50,White-winged Wood Duck,Cairina scutulata,Asia,E,N
51,Bald eagle,Haliaeetus leucocephalus,North America,T,Y
52,Greenland white-tailed eagle,Haliaeetus albicilla groenlandicus,North America,E,Y
53,Harpy eagle,Harpia harpyja,"North America, South America",E,N
54,Madagascar sea eagle,Haliaeetus vociferoides,Africa,E,N
55,Madagascar Serpent Eagle,Eutriorchis astur,Africa,E,N
56,Philippine eagle,Pithecophaga jefferyi,Asia,E,N
57,Spanish Imperial Eagle,Aquila heliaca adalberti,"Europe, Africa",E,N
58,Chinese egret,Egretta eulophotes,Asia,E,Y
59,Spectacled eider,Somateria fischeri,"North America, Asia",T,Y
60,Steller's eider,Polysticta stelleri,"North America, Asia",T,Y
61,O'ahu �Elepaio,Chasiempis ibidis,North America,E,N
62,Eurasian peregrine falcon,Falco peregrinus peregrinus,"Europe, Asia, Africa",E,Y
63,Northern aplomado falcon,Falco femoralis septentrionalis,"North America, South America",E,Y
64,Laysan finch (honeycreeper),Telespiza cantans,North America,E,N
65,Nihoa Finch (honeycreeper),Telespiza ultima,North America,E,N
66,Euler's flycatcher,Empidonax euleri johnstonei,Asia,E,Y
67,Seychelles paradise flycatcher,Terpsiphone corvina,Asia,E,N
68,Southwestern willow flycatcher,Empidonax traillii extimus,North America,E,Y
69,Tahiti flycatcher,Pomarea nigra,Australia,E,N
70,Mauritius fody,Foudia rubra,Australia,E,N
71,Rodrigues fody,Foudia flavicans,Australia,E,N
72,Seychelles Fody (weaver-finch),Foudia sechellarum,Australia,E,N
73,Djibouti Francolin,Francolinus ochropectus,Africa,E,N
74,Freira,Pterodroma madeira,Australia,E,Y
